market_id,market_question,jurisdiction,office_level,public_sources,commercial_sources,timeline_alignment_guidance,additional_notes
511754,Will Donald Trump be inaugurated?,United States – Federal,Presidential / Vice-Presidential nomination,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required),"Use FEC coverage_end_date to align quarterly and 48-hour filings with market price timestamps. After each report, forward-fill cumulative totals until the next filing to maintain daily continuity.","Pair presidential committee filings with joint fundraising committee data (e.g., Trump Save America, Biden Victory Fund) for completeness."
511753,Will Kamala Harris be inaugurated?,United States – Federal,Presidential / Vice-Presidential nomination,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required),"Use FEC coverage_end_date to align quarterly and 48-hour filings with market price timestamps. After each report, forward-fill cumulative totals until the next filing to maintain daily continuity.","Pair presidential committee filings with joint fundraising committee data (e.g., Trump Save America, Biden Victory Fund) for completeness."
504873,Will Gavin Newsom be D-nom for VP on Election Day?,United States – Federal,Presidential / Vice-Presidential nomination,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required),"Use FEC coverage_end_date to align quarterly and 48-hour filings with market price timestamps. After each report, forward-fill cumulative totals until the next filing to maintain daily continuity.","Pair presidential committee filings with joint fundraising committee data (e.g., Trump Save America, Biden Victory Fund) for completeness."
504868,Will Michelle Obama be D-nom for VP on Election Day?,United States – Federal,Presidential / Vice-Presidential nomination,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required),"Use FEC coverage_end_date to align quarterly and 48-hour filings with market price timestamps. After each report, forward-fill cumulative totals until the next filing to maintain daily continuity.","Pair presidential committee filings with joint fundraising committee data (e.g., Trump Save America, Biden Victory Fund) for completeness."
507242,Will the Democratic candidate win Pennsylvania by 1.5%-2.0%?,United States – Pennsylvania,Presidential statewide vote margin,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.); Pennsylvania DOS Campaign Finance Reporting (https://www.dos.pa.gov/VotingElections/CandidatesCommittees/CampaignFinance/Pages/default.aspx; Official state portal; reuse permitted with attribution under Pennsylvania open records guidance.); FollowTheMoney – Pennsylvania State Overview (https://www.followthemoney.org/tools/state/pennsylvania/; CC BY 4.0 with attribution; mirrors state filings.),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required); TargetSmart VoterBase + Finance Enhancements (https://targetsmart.com/; Escalation required),"Pennsylvania filings follow pre-primary, pre-general, and 24-hour schedules. Normalize by converting each filing's reporting_period_end_date to UTC and aligning with matching market dates; forward-fill between filings.",Blend statewide filings with county-level late contribution notices for final 72-hour adjustments.
507237,Will the Democratic candidate win Pennsylvania by 0.5%-1%?,United States – Pennsylvania,Presidential statewide vote margin,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.); Pennsylvania DOS Campaign Finance Reporting (https://www.dos.pa.gov/VotingElections/CandidatesCommittees/CampaignFinance/Pages/default.aspx; Official state portal; reuse permitted with attribution under Pennsylvania open records guidance.); FollowTheMoney – Pennsylvania State Overview (https://www.followthemoney.org/tools/state/pennsylvania/; CC BY 4.0 with attribution; mirrors state filings.),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required); TargetSmart VoterBase + Finance Enhancements (https://targetsmart.com/; Escalation required),"Pennsylvania filings follow pre-primary, pre-general, and 24-hour schedules. Normalize by converting each filing's reporting_period_end_date to UTC and aligning with matching market dates; forward-fill between filings.",Blend statewide filings with county-level late contribution notices for final 72-hour adjustments.
509218,Will the Democratic candidate win Nevada by 3.0%-4.0%? ,United States – Nevada,Presidential statewide vote margin,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.); Nevada Secretary of State – Campaign Finance (https://www.nvsos.gov/sos/elections/campaign-finance; Official state publication; reuse allowed with attribution per Nevada Revised Statutes 239.); FollowTheMoney – Nevada State Overview (https://www.followthemoney.org/tools/state/nevada/; CC BY 4.0 with attribution.),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required); Civis Analytics – Battleground Finance Feeds (https://www.civisanalytics.com/; Escalation required),"Nevada requires pre-primary/general and 24-hour reports. Align using filing acceptance datetime, adjusting for Pacific Time when merging with UTC price data.",Nevada posts filings in Pacific Time; convert to UTC before merging with market timestamps.
509188,Will the Democratic candidate win Wisconsin by 3%-4.0%? ,United States – Wisconsin,Presidential statewide vote margin,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.); Wisconsin Campaign Finance Information System (CFIS) (https://cfis.wi.gov; State-hosted database; terms allow reuse for non-commercial analysis with attribution.); Wisconsin Ethics Commission Open Data (https://ethics.wi.gov/Pages/CampaignFinance/Opendata.aspx; State open data licence; attribution required.),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required); L2 Political – Wisconsin Donor Files (https://l2-data.com/; Escalation required),Wisconsin CFIS updates nightly. Capture the `report_period_end_date` and expand across days until subsequent filings.,CFIS distinguishes between state and federal committees; filter on federal office to match presidential vote margins.
512246,Will Austin Scott be the first elected Speaker of the House for the 119th congress?,United States – U.S. House of Representatives,House leadership election,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.); Clerk of the U.S. House – Financial Disclosure Reports (https://disclosures-clerk.house.gov/PublicDisclosure/FinancialDisclosure; U.S. government work (public domain).),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required); Quorum Federal Lobbying & PAC Contributions (https://www.quorum.us/; Escalation required),"Candidate committees file monthly; leadership PACs file semi-annually. Join on FEC committee ID, using filing_received_date to sync with market moves around leadership announcements.",Leadership races also hinge on NRCC/DCCC transfers; capture party committee filings for a holistic view.
512245,Will Jack Bergman be the first elected Speaker of the House for the 119th congress?,United States – U.S. House of Representatives,House leadership election,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.); Clerk of the U.S. House – Financial Disclosure Reports (https://disclosures-clerk.house.gov/PublicDisclosure/FinancialDisclosure; U.S. government work (public domain).),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required); Quorum Federal Lobbying & PAC Contributions (https://www.quorum.us/; Escalation required),"Candidate committees file monthly; leadership PACs file semi-annually. Join on FEC committee ID, using filing_received_date to sync with market moves around leadership announcements.",Leadership races also hinge on NRCC/DCCC transfers; capture party committee filings for a holistic view.
512248,Will Elise Stefanik be the first elected Speaker of the House for the 119th congress?,United States – U.S. House of Representatives,House leadership election,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.); Clerk of the U.S. House – Financial Disclosure Reports (https://disclosures-clerk.house.gov/PublicDisclosure/FinancialDisclosure; U.S. government work (public domain).),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required); Quorum Federal Lobbying & PAC Contributions (https://www.quorum.us/; Escalation required),"Candidate committees file monthly; leadership PACs file semi-annually. Join on FEC committee ID, using filing_received_date to sync with market moves around leadership announcements.",Leadership races also hinge on NRCC/DCCC transfers; capture party committee filings for a holistic view.
516767,Will Pierre Poilievre be the next Canadian Prime Minister?,Canada – Federal,Prime Minister / party leadership,Elections Canada – Political Financing Reports (https://www.elections.ca/content.aspx?section=fin&document=index&lang=e; Open Government Licence – Canada.); Elections Canada Open Data Portal (https://www.elections.ca/content.aspx?section=res&dir=rec/dat&document=index&lang=e; Open Government Licence – Canada.),iPolitics INTEL Fundraising Tracker (https://www.ipolitics.ca/intel/; Escalation required); Politico Pro Canada Elections Coverage (https://www.politico.com/pro; Escalation required),Elections Canada event returns include `ReportingPeriodEndDate`. Convert to UTC and align to the daily close in the price series. Supplement with interim leadership contestant filings as available.,Include Elections Canada event-specific expense reports once the writ is dropped for the 45th general election.
516769,Will Mark Carney be the next Canadian Prime Minister?,Canada – Federal,Prime Minister / party leadership,Elections Canada – Political Financing Reports (https://www.elections.ca/content.aspx?section=fin&document=index&lang=e; Open Government Licence – Canada.); Elections Canada Open Data Portal (https://www.elections.ca/content.aspx?section=res&dir=rec/dat&document=index&lang=e; Open Government Licence – Canada.),iPolitics INTEL Fundraising Tracker (https://www.ipolitics.ca/intel/; Escalation required); Politico Pro Canada Elections Coverage (https://www.politico.com/pro; Escalation required),Elections Canada event returns include `ReportingPeriodEndDate`. Convert to UTC and align to the daily close in the price series. Supplement with interim leadership contestant filings as available.,Include Elections Canada event-specific expense reports once the writ is dropped for the 45th general election.
512340,Will Nicolae Ciucă win the 2024 Romanian Presidential election?,Romania – National,Presidential election,"Autoritatea Electorală Permanentă – Portalul Financiar (https://finantarepartide.ro/; Romanian public sector data; reuse allowed with attribution under Law 544/2001, but interface remains Romanian-only.); Expert Forum (EFOR) – Banometru Dashboard (https://expertforum.ro/banometru/; Creative Commons BY 4.0.)",CEIC Data – Romania Government & Politics (https://www.ceicdata.com/en; Escalation required),AEP posts pre-campaign and campaign expenditure statements stamped with submission dates. Manual OCR may be required; align to submission_date to observe lagged effects on market prices.,AEP publishes reimbursements in PDF; plan for OCR or manual digitization to generate structured time series.
519075,Will Hunor Kelemen win the Romanian presidential election?,Romania – National,Presidential election,"Autoritatea Electorală Permanentă – Portalul Financiar (https://finantarepartide.ro/; Romanian public sector data; reuse allowed with attribution under Law 544/2001, but interface remains Romanian-only.); Expert Forum (EFOR) – Banometru Dashboard (https://expertforum.ro/banometru/; Creative Commons BY 4.0.)",CEIC Data – Romania Government & Politics (https://www.ceicdata.com/en; Escalation required),AEP posts pre-campaign and campaign expenditure statements stamped with submission dates. Manual OCR may be required; align to submission_date to observe lagged effects on market prices.,AEP publishes reimbursements in PDF; plan for OCR or manual digitization to generate structured time series.
519068,Will Nicușor Dan win the Romanian presidential election?,Romania – National,Presidential election,"Autoritatea Electorală Permanentă – Portalul Financiar (https://finantarepartide.ro/; Romanian public sector data; reuse allowed with attribution under Law 544/2001, but interface remains Romanian-only.); Expert Forum (EFOR) – Banometru Dashboard (https://expertforum.ro/banometru/; Creative Commons BY 4.0.)",CEIC Data – Romania Government & Politics (https://www.ceicdata.com/en; Escalation required),AEP posts pre-campaign and campaign expenditure statements stamped with submission dates. Manual OCR may be required; align to submission_date to observe lagged effects on market prices.,AEP publishes reimbursements in PDF; plan for OCR or manual digitization to generate structured time series.
534189,Will Lee Jae-myung be elected the next president of South Korea?,South Korea – National,Presidential election,National Election Commission – Political Funds Integrated Information System (https://nef.nec.go.kr/; Korean public sector licence (KOGL Type 1); attribution required.); Korean Statistical Information Service (KOSIS) – Political Funds (https://kosis.kr/eng/; KOGL Type 1; attribution required.),Yonhap Infomax Election Finance (https://www.yonhapinfomax.co.kr/; Escalation required),NEC system exports monthly ledgers with `report_date`. Use Korean Standard Time when mapping to price data; expect updates within 7 days of filing deadlines.,NEC portal requires Korean language navigation; coordinate with bilingual analyst for data extraction.
534197,Will Kim Moon-soo be elected the next president of South Korea?,South Korea – National,Presidential election,National Election Commission – Political Funds Integrated Information System (https://nef.nec.go.kr/; Korean public sector licence (KOGL Type 1); attribution required.); Korean Statistical Information Service (KOSIS) – Political Funds (https://kosis.kr/eng/; KOGL Type 1; attribution required.),Yonhap Infomax Election Finance (https://www.yonhapinfomax.co.kr/; Escalation required),NEC system exports monthly ledgers with `report_date`. Use Korean Standard Time when mapping to price data; expect updates within 7 days of filing deadlines.,NEC portal requires Korean language navigation; coordinate with bilingual analyst for data extraction.
534220,Will Lee Jun-seok be elected the next president of South Korea?,South Korea – National,Presidential election,National Election Commission – Political Funds Integrated Information System (https://nef.nec.go.kr/; Korean public sector licence (KOGL Type 1); attribution required.); Korean Statistical Information Service (KOSIS) – Political Funds (https://kosis.kr/eng/; KOGL Type 1; attribution required.),Yonhap Infomax Election Finance (https://www.yonhapinfomax.co.kr/; Escalation required),NEC system exports monthly ledgers with `report_date`. Use Korean Standard Time when mapping to price data; expect updates within 7 days of filing deadlines.,NEC portal requires Korean language navigation; coordinate with bilingual analyst for data extraction.
514139,Will Rafał Trzaskowski be the next President of Poland?,Poland – National,Presidential election,National Electoral Commission (PKW) – Election Finance Disclosures (https://wybory.gov.pl; Official government publication; reuse permitted with attribution.); OpenSpending Poland – Campaign Finance Explorer (https://openspending.pl/; CC BY 4.0 license.),Emerging Europe Monitor (Fitch Solutions) (https://www.fitchsolutions.com/; Escalation required),"PKW releases final committee statements approximately 3 months post-election. Align using report publication date, noting that intra-campaign finance transparency is limited.",PKW releases deposits and reimbursement schedules; interim fundraising transparency is limited.
