event_id,market_id,platform,event_title,market_question,jurisdiction,category,start_date,end_date,closed_time,total_volume,volume_24h,volume_1w,volume_1m,volume_1y,liquidity,liquidity_amm,liquidity_clob,open_interest,num_outcomes,outcomes,winning_outcome,resolution_source,resolution_notes,clob_token_ids,price_history_available
14023,511754,Polymarket,Who will be inaugurated as President? ,Will Donald Trump be inaugurated?,,,2024-11-01T22:47:12.269661Z,2025-01-20T12:00:00Z,2025-01-20 22:51:36+00,400409526.886835,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",Yes,,"This market will resolve to ""Yes"" if Donald J. Trump is inaugurated as President of the United States. Otherwise, this market will resolve to ""No"".

Inauguration day is currently scheduled for January 20, 2025. If inauguration day is delayed, this market will remain open until someone has been inaugurated. If no one has been inaugurated by January 31, 2025, 11:59 PM ET, this market will resolve to ""No"". 

The primary resolution source for this market will be information from the US government, however a consensus of credible reporting will also be used.","['45714870634090908403813747458214625542376052548606303175331201110938821302832', '81903344213938200361285862519406650037576398044514748634670292917494365866240']",True
14228,512340,Polymarket,(Old) Romania Election,Will Nicolae Ciucă win the 2024 Romanian Presidential election?,,,2024-11-08T00:21:10.582932Z,2025-04-30T12:00:00Z,2025-05-01 09:18:53+00,326507670.562732,,11979795.62,152186587.875166,326507670.56273204,,,,0.0,2,"['Yes', 'No']",No,,"Presidential elections will be held in Romania on 24 November 2024. A second round will be held on 8 December 2024 if no candidate receives an absolute majority of the vote.

This market will resolve to ""Yes"" if Nicolae Ciucă wins this election. Otherwise, this market will resolve to ""No"".

This market includes any potential second round. If the result of this election isn't known by April 30, 2025, 11:59 PM ET, the market will resolve to ""No"".

This market will resolve solely based off the first official announcement of the election results from the Romanian Government, specifically the Permanent Electoral Authority (https://www.roaep.ro/prezentare/).
","['53033438245279373213426094525005043480366615306824323472317521871682514379120', '59618000103872045883924272587382664437569966578424869104128564655378953160740']",True
12623,507242,Polymarket,Pennsylvania Margin of Victory,Will the Democratic candidate win Pennsylvania by 1.5%-2.0%?,,,2024-09-17T23:28:54.081926Z,2024-11-05T12:00:00Z,2024-12-05 04:16:19+00,109063759.600993,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,,"This market will resolve to ""Yes” if the Democratic Party candidate wins the popular vote in Pennsylvania in the 2024 U.S. Presidential Election by between 1.5% (inclusive) and 2.0% (exclusive) when compared with the second place candidate. Otherwise, this market will resolve to ""No"".

For the purpose of resolving this market, the 'margin of victory' is defined as the absolute difference between the percentages of votes received by the Democratic Party candidate and the second-place candidate. Percentages of the votes received by each party will be determined by dividing the total number of votes each of the top two candidates receives by the sum of all votes cast in Pennsylvania for the 2024 U.S. Presidential Election.

This market will resolve based off the official vote count once Pennsylvania has certified the vote. 

If a recount is initiated before certification, the market will remain open until the recount is completed and the vote is certified. If a recount occurs after certification, the recount will not be considered.","['50359548234039960292196003199462920229740483405247698708858122753748162136710', '37216002198068335704548623054992010338811654161235074096184479870463026341679']",True
11968,504873,Polymarket,Democratic VP nominee on election day?,Will Gavin Newsom be D-nom for VP on Election Day?,,,2024-08-09T22:06:58.198296Z,2024-11-04T12:00:00Z,2024-11-05 14:09:03+00,92886849.31616,,0.0,0.0,0.0,,,,,2,"['Yes', 'No']",No,,"This market will resolve to ""Yes"" if Gavin Newsom is the official 2024 nominee of the Democratic Party for U.S. vice president on November 4, 2024, 11:59 PM ET. Otherwise, this market will resolve to “No”.

The resolution source for this market will be a consensus of official Democratic Party sources, including https://democrats.org/.
 ","['87856116025836548805521972902914933594725243769326425250809353505894606641631', '106243684813007257594120019414737403734811980133622093318580768752843970007093']",True
22254,534189,Polymarket,Next president of South Korea?,Will Lee Jae-myung be elected the next president of South Korea?,,,2025-04-04T22:52:37.259007Z,2025-06-03T12:00:00Z,2025-06-03 21:33:32+00,88035547.447225,,44220305.42825194,74226172.32089475,88035547.44722442,,,,0.0,2,"['Yes', 'No']",Yes,,"South Korean presidential elections will occur on or before June 3, 2025 following the impeachment of Yoon Suk Yeol.

This market will resolve according to the next elected president of South Korea following this election.

Any interim/acting President will not count toward the resolution of this market.

If no next President of South Korea is elected by February 28, 2026, 11:59 PM ET this market will resolve to ""Other"".

The primary resolution source for this market will be official information from the Government of South Korea, however a consensus of credible reporting may also be used.","['106153378961102532315642223211322829491902773315904192835321056658787574388535', '77444435762420711044339640645792265526010696615911175439180482698545420366139']",True
16868,519075,Polymarket,Romania Presidential Election Winner,Will Hunor Kelemen win the Romanian presidential election?,,,2025-01-17T22:05:39.682487Z,2025-05-18T12:00:00Z,2025-05-19 05:38:37+00,80897096.543524,,16000.0,54690.0,80897096.543524,0.0,,,0.0,2,"['Yes', 'No']",No,,"The first round of the Romanian presidential election, originally held on November 24, 2024, was annulled by the Constitutional Court. On January 16, Romania's coalition government approved a re-run of the presidential election. It is scheduled for May 4, with a second round on May 18, if no candidate receives an absolute majority of the vote (see: https://www.reuters.com/world/europe/romania-confirms-date-tightens-rules-presidential-election-rerun-2025-01-16/).

This market will resolve to the individual who wins the next Romanian presidential election including any potential second round.

This market is inclusive of any election which results in the selection of the next Romanian President. For example, if Romania decides to recertify the results of the November 2024 election, this market would resolve accordingly.

If the result of this election isn't known by December 31, 2025, 11:59 PM ET, the market group will resolve to ""Other"".

This market will resolve based on the result of the election as indicated by a consensus of credible reporting. If there is ambiguity, this market will resolve based solely on the official results as reported by the Romanian Government, specifically the Permanent Electoral Authority (https://www.roaep.ro/prezentare/).
","['76281740581554871499625003009408244592747070827294693281849801034738430468659', '5779930821109846262669669484867584068088577191267413527354857886763878120297']",True
22254,534197,Polymarket,Next president of South Korea?,Will Kim Moon-soo be elected the next president of South Korea?,,,2025-04-04T22:52:37.259007Z,2025-06-03T12:00:00Z,2025-06-03 21:49:12+00,73197949.803466,,53588346.42246207,68680906.955262,73197949.80346584,,,,0.0,2,"['Yes', 'No']",No,,"South Korean presidential elections will occur on or before June 3, 2025 following the impeachment of Yoon Suk Yeol.

This market will resolve according to the next elected president of South Korea following this election.

Any interim/acting President will not count toward the resolution of this market.

If no next President of South Korea is elected by February 28, 2026, 11:59 PM ET this market will resolve to ""Other"".

The primary resolution source for this market will be official information from the Government of South Korea, however a consensus of credible reporting may also be used.","['88367287191881225139620787713565692597802556472947648475077029086743269748668', '81571664702088275676361008077896353891715141859428403243395296966269838397575']",True
14023,511753,Polymarket,Who will be inaugurated as President? ,Will Kamala Harris be inaugurated?,,,2024-11-01T22:47:12.269661Z,2025-01-20T12:00:00Z,2025-01-21 00:20:56+00,72247146.4466322,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,,"This market will resolve to ""Yes"" if Kamala Harris is inaugurated as President of the United States. Otherwise, this market will resolve to ""No"".

Inauguration day is currently scheduled for January 20, 2025. If inauguration day is delayed, this market will remain open until someone has been inaugurated. If no one has been inaugurated by January 31, 2025, 11:59 PM ET, this market will resolve to ""No"". 

The primary resolution source for this market will be information from the US government, however a consensus of credible reporting will also be used.","['70948999046678954944326787736190690890568173143213485913437360277446343508580', '12281160367645562427655326652447690861620454304704683288492828384648426658299']",True
16125,516767,Polymarket,Next Prime Minister of Canada after the election?,Will Pierre Poilievre be the next Canadian Prime Minister?,,,2024-12-30T15:21:50.51643Z,2025-04-28T12:00:00Z,2025-04-30 11:29:47+00,67376035.838465,,39499515.403054975,60081131.17554616,67376035.83846536,,,,0.0,2,"['Yes', 'No']",No,,"The next Canadian federal election will take place on or before October 20, 2025, to elect members of the House of Commons to the 45th Canadian Parliament.

This market will resolve to ""Yes"" if Pierre Poilievre is the next Prime Minister of Canada following the election. Otherwise, this market will resolve to ""No.""

Any interim/caretaker Prime Minister will not count toward the resolution of this market. If no next Prime Minister of Canada is instated by December 31, 2025, 11:59 PM ET this market will resolve to ""No.""

The primary resolution source for this market will be official information from the Government of Canada, however a consensus of credible reporting may also be used.","['304223829867910478181460849192477530685410813637096841629263146254608207526', '107945661229032133314278422758316384974042957235190601935788628895276141846095']",True
14033,512246,Polymarket,Who will be the Speaker of the House?,Will Austin Scott be the first elected Speaker of the House for the 119th congress?,,,2024-11-06T23:07:10.55229Z,2025-02-01T12:00:00Z,2025-01-03 23:22:49+00,67258993.77656,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,https://www.youtube.com/watch?v=NRvAY2eWTEs,"This market will resolve to ""Yes"" if Austin Scott becomes the first-elected Speaker of the House in the 119th United States Congress. Otherwise, this market will resolve to ""No"".

Any individual elected to be, appointed to be, or serving as Speaker pro tempore in the 119th congress will have no bearing on the resolution of this market. Only the first-elected Speaker of the House will count toward the resolution of this market.

If the election for the first Speaker for the 119th Congress is not finalized by June 30, 2025, 11:59 PM ET, this market will resolve to ""No"".

The primary resolution source for this market will be official information from the government of the United States of America (ex: https://www.speaker.gov/, https://www.house.gov/), however credible reporting may be used.","['83081225549464525786604921429823254061702747984805625369909547871933046013906', '65560207284874123441584537082169611042873507837195788078935581907371546857254']",True
14033,512245,Polymarket,Who will be the Speaker of the House?,Will Jack Bergman be the first elected Speaker of the House for the 119th congress?,,,2024-11-06T23:07:10.55229Z,2025-02-01T12:00:00Z,2025-01-03 23:17:21+00,58633495.646624,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,https://www.youtube.com/watch?v=NRvAY2eWTEs,"This market will resolve to ""Yes"" if Jack Bergman becomes the first-elected Speaker of the House in the 119th United States Congress. Otherwise, this market will resolve to ""No"".

Any individual elected to be, appointed to be, or serving as Speaker pro tempore in the 119th congress will have no bearing on the resolution of this market. Only the first-elected Speaker of the House will count toward the resolution of this market.

If the election for the first Speaker for the 119th Congress is not finalized by June 30, 2025, 11:59 PM ET, this market will resolve to ""No"".

The primary resolution source for this market will be official information from the government of the United States of America (ex: https://www.speaker.gov/, https://www.house.gov/), however credible reporting may be used.","['62245609622379299765169465480312589524657261442953990166038046572673569490658', '108471156524434518973805009388043350703773011538436876274713478216693894565581']",True
14033,512248,Polymarket,Who will be the Speaker of the House?,Will Elise Stefanik be the first elected Speaker of the House for the 119th congress?,,,2024-11-06T23:07:10.55229Z,2025-02-01T12:00:00Z,2025-01-03 23:22:45+00,54151183.846678,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,https://www.youtube.com/watch?v=NRvAY2eWTEs,"This market will resolve to ""Yes"" if Elise Stefanik becomes the first-elected Speaker of the House in the 119th United States Congress. Otherwise, this market will resolve to ""No"".

Any individual elected to be, appointed to be, or serving as Speaker pro tempore in the 119th congress will have no bearing on the resolution of this market. Only the first-elected Speaker of the House will count toward the resolution of this market.

If the election for the first Speaker for the 119th Congress is not finalized by June 30, 2025, 11:59 PM ET, this market will resolve to ""No"".

The primary resolution source for this market will be official information from the government of the United States of America (ex: https://www.speaker.gov/, https://www.house.gov/), however credible reporting may be used.","['9709043459418676565235115093720068203715019366717274658072340786119112024797', '18659385250968208060382444418108575832949975483251250293936627899023630957353']",True
22254,534220,Polymarket,Next president of South Korea?,Will Lee Jun-seok be elected the next president of South Korea?,,,2025-04-04T22:52:37.259007Z,2025-06-03T12:00:00Z,2025-06-03 21:54:36+00,51905307.266619,,24261684.225020017,45777613.66141296,51905307.26661903,,,,0.0,2,"['Yes', 'No']",No,,"South Korean presidential elections will occur on or before June 3, 2025 following the impeachment of Yoon Suk Yeol.

This market will resolve according to the next elected president of South Korea following this election.

Any interim/acting President will not count toward the resolution of this market.

If no next President of South Korea is elected by February 28, 2026, 11:59 PM ET this market will resolve to ""Other"".

The primary resolution source for this market will be official information from the Government of South Korea, however a consensus of credible reporting may also be used.","['12028421613075007298354966305874200757513726033554969941182975108120067267755', '109538169780508263466563830743331590968144744651153621966246459989685513705667']",True
16868,519068,Polymarket,Romania Presidential Election Winner,Will Nicușor Dan win the Romanian presidential election?,,,2025-01-17T22:05:39.682487Z,2025-05-18T12:00:00Z,2025-05-19 04:09:33+00,50991003.196931,,33961239.68557928,49269614.09379366,50991003.19693045,,,,0.0,2,"['Yes', 'No']",Yes,,"The first round of the Romanian presidential election, originally held on November 24, 2024, was annulled by the Constitutional Court. On January 16, Romania's coalition government approved a re-run of the presidential election. It is scheduled for May 4, with a second round on May 18, if no candidate receives an absolute majority of the vote (see: https://www.reuters.com/world/europe/romania-confirms-date-tightens-rules-presidential-election-rerun-2025-01-16/).

This market will resolve to the individual who wins the next Romanian presidential election including any potential second round.

This market is inclusive of any election which results in the selection of the next Romanian President. For example, if Romania decides to recertify the results of the November 2024 election, this market would resolve accordingly.

If the result of this election isn't known by December 31, 2025, 11:59 PM ET, the market group will resolve to ""Other"".

This market will resolve based on the result of the election as indicated by a consensus of credible reporting. If there is ambiguity, this market will resolve based solely on the official results as reported by the Romanian Government, specifically the Permanent Electoral Authority (https://www.roaep.ro/prezentare/).
","['65635069780420563470359317634895637337713542089289204127626426923331166629221', '75108011059255100121309616647139761925541153138774950455720013752098078766968']",True
13269,509218,Polymarket,Nevada Margin of Victory,Will the Democratic candidate win Nevada by 3.0%-4.0%? ,,,2024-10-08T16:22:55.115994Z,2024-11-05T12:00:00Z,2024-11-27 08:27:48+00,47843276.232386,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,,"This market will resolve to ""Yes” if the Democratic Party candidate wins the popular vote in Nevada in the 2024 U.S. Presidential Election by between 3.0% (inclusive) and 4.0% (exclusive) when compared with the second place candidate. Otherwise, this market will resolve to ""No"".

For the purpose of resolving this market, the 'margin of victory' is defined as the absolute difference between the percentages of votes received by the Democratic Party candidate and the second-place candidate. Percentages of the votes received by each party will be determined by dividing the total number of votes each of the top two candidates receives by the sum of all votes cast in Nevada for the 2024 U.S. Presidential Election.

This market will resolve based off the official vote count once Nevada has certified the vote. 

If a recount is initiated before certification, the market will remain open until the recount is completed and the vote is certified. If a recount occurs after certification, the recount will not be considered.","['11882032085914154466313817943921432426414847616506171316931743727431433732521', '55698666696895528831151558830089414594542383977934082899222558840640865951332']",True
14874,514139,Polymarket,Poland Presidential Election,Will Rafał Trzaskowski be the next President of Poland?,,,2024-11-29T19:39:32.016331Z,2025-06-01T12:00:00Z,2025-06-02 08:55:20+00,40863065.298881,,27870497.140199106,38621501.88314174,40863065.298880756,,,,0.0,2,"['Yes', 'No']",No,,"Presidential elections will be held in Poland in May, 2025. If no candidate receives a majority in the first round, a second round will be held.

This market will resolve to ""Yes"" if Rafał Trzaskowski wins this election. Otherwise, this market will resolve to ""No"".

This market includes any potential second round. If the result of this election isn't known by July 31, 2025, 11:59 PM ET, the market will resolve to ""No"".

This market will resolve solely based off the first official announcement of the winner of the election from the Polish government, specifically the National Electoral Commission (Państwowa Komisja Wyborcza, PKW) (https://www.pkw.gov.pl/).
","['9985510571211594606436989364549728150268400968429116207816527248582274291346', '95044204495071447962354072933210357509612220350121617225795580441278155097858']",True
13252,509188,Polymarket,Wisconsin Margin of Victory,Will the Democratic candidate win Wisconsin by 3%-4.0%? ,,,2024-10-08T16:14:54.773773Z,2024-11-05T12:00:00Z,2024-11-30 00:17:43+00,37386911.778964,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,,"This market will resolve to ""Yes” if the Democratic Party candidate wins the popular vote in Wisconsin in the 2024 U.S. Presidential Election by between 3.0% (inclusive) and 4.0% (exclusive) when compared with the second place candidate. Otherwise, this market will resolve to ""No"".

For the purpose of resolving this market, the 'margin of victory' is defined as the absolute difference between the percentages of votes received by the Democratic Party candidate and the second-place candidate. Percentages of the votes received by each party will be determined by dividing the total number of votes each of the top two candidates receives by the sum of all votes cast in Wisconsin for the 2024 U.S. Presidential Election.

This market will resolve based off the official vote count once Wisconsin has certified the vote. 

If a recount is initiated before certification, the market will remain open until the recount is completed and the vote is certified. If a recount occurs after certification, the recount will not be considered.","['50386623371762960294037115212190030624380053353641347814956850443903952194652', '10100523053596095649474126964030718962597537603860742564006912892671020020883']",True
16125,516769,Polymarket,Next Prime Minister of Canada after the election?,Will Mark Carney be the next Canadian Prime Minister?,,,2024-12-30T15:21:50.51643Z,2025-04-28T12:00:00Z,2025-04-30 19:37:50+00,36416000.185007,,18393408.033561982,30916918.733799037,36416000.18500703,,,,0.0,2,"['Yes', 'No']",Yes,,"The next Canadian federal election will take place on or before October 20, 2025, to elect members of the House of Commons to the 45th Canadian Parliament.

This market will resolve to ""Yes"" if Mark Carney is the next Prime Minister of Canada following the election. Otherwise, this market will resolve to ""No.""

Any interim/caretaker Prime Minister will not count toward the resolution of this market. If no next Prime Minister of Canada is instated by December 31, of 2025, 11:59 PM ET this market will resolve to ""No.""

The primary resolution source for this market will be official information from the Government of Canada, however a consensus of credible reporting may also be used.","['29677413448356631423250052573262008356913370083986817030510370064664558041792', '115500896288417093456030036113841947954779737078916313348905317033023580388531']",True
11968,504868,Polymarket,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,,,2024-08-09T22:06:58.198296Z,2024-11-04T12:00:00Z,2024-11-05 12:41:08+00,36277175.060258,,0.0,0.0,0.0,,,,,2,"['Yes', 'No']",No,,"This market will resolve to ""Yes"" if Michelle Obama is the official 2024 nominee of the Democratic Party for U.S. vice president on November 4, 2024, 11:59 PM ET. Otherwise, this market will resolve to “No”.

The resolution source for this market will be a consensus of official Democratic Party sources, including https://democrats.org/.
 ","['65495461921377503521998516412350918765301644770718057806630459327239130994671', '70094742705536399124594402690240481114297627107625350791858779125667254942864']",True
12623,507237,Polymarket,Pennsylvania Margin of Victory,Will the Democratic candidate win Pennsylvania by 0.5%-1%?,,,2024-09-17T23:28:54.081926Z,2024-11-05T12:00:00Z,2024-12-05 04:01:18+00,33119218.154897,,0.0,0.0,0.0,,,,0.0,2,"['Yes', 'No']",No,,"This market will resolve to ""Yes” if the Democratic Party candidate wins the popular vote in Pennsylvania in the 2024 U.S. Presidential Election by between 0.5% (inclusive) and 1% (exclusive) when compared with the second place candidate. Otherwise, this market will resolve to ""No"".

For the purpose of resolving this market, the 'margin of victory' is defined as the absolute difference between the percentages of votes received by the Democratic Party candidate and the second-place candidate. Percentages of the votes received by each party will be determined by dividing the total number of votes each of the top two candidates receives by the sum of all votes cast in Pennsylvania for the 2024 U.S. Presidential Election.

This market will resolve based off the official vote count once Pennsylvania has certified the vote. 

If a recount is initiated before certification, the market will remain open until the recount is completed and the vote is certified. If a recount occurs after certification, the recount will not be considered.","['99077410387647173280522951028243779622882345541242065018748641861700419131707', '59758697781124678263493240859939325028231054294261808325713574448816750011681']",True
